Name of location,City/Municipality,Province,Region 
DAVAO DOCTORS HOSPITAL,Solano,,
City Health Office,Manila,,
BARANGAY 563 CHECKPOINT FRONTLINERS,Solano,,
Sta.Cruz Laguna Municipality office,Solano,,
Brgy.Bulilan Sur Pila Laguna ,Solano,,
Ospital ng Lipa,Urdaneta,,
Ospital ng Lipa,Tanauan,,
Brgy. Ampid 1 Public Health Center,,,
Brgy. Guitnang Bayan 2 Public Health Center,,,
Brgy. Banaba Public Health Center,Rizal,,
Brgy. Sta Ana Public Health Center,Cagayan de Oro,,
Salvacion Checkpoint,Sorsogon,,
Ma Estrella Gen Hospital,San Pedro,,
Dahilig Lemery Batangas,Lemery,,
District 2 Lemery Batangas,Lemery,,
Agoncillo Health Center Batangas,Lemery,,
"BARANGAY Caingin, southville 4 STA.ROSA CENTER",Sta Rosa,,
E.Quirino Brgy.Nanhaya Victoria Laguna,Taguig,,
Philippines Coast Guard Auxiliary,Naga,,
IMMACULATE CONCEPCION MEDICAL CENTER,Cabanatuan,,
LGU Magarao volunteer food packer,Naga,,
Bonbon volunteer Food packer,Naga,,
Dr.Marcelo Chan Hospital,Rosales,,
Valenzuela City Hall,Tanauan,,
Police Checkpoint,Tanauan,,
Calabanga checkpoint and volunteer Food packer,Tagaytay,,
Barangay Poblacion 1 checkpoint,Sta Rosa,,
 Rural Health Unit of Indang,Trece Martires,,
 FIRST CABUYAO HOSPITAL,Cabuyao,,
hase 5&6 Baranggay Mamatid,Cabuyao,,
Check Points (Along Mandaluyong Makati JP. Rizal),Makati,,
Barangay Poblacion Frontliners,Makati,,
Check Points Brgy Bel Air makati city including volunteer in Barangay,Makati,,
Brgy.129 Zone13 Pasay City (frontliners),Makati,,
PNP Police Station 10,Quezon City,,
"PNP Checkpoints (Valero st. cor Sedenio, Makati City)",Makati,,
Marikina Emergency Rescue Team,Marikina,,
Mateo General Diagnostic Center,Manila,,
PCP4 Malanday Marikina PNP,Marikina,,
HVill Hospital,Marikina,,
Batasan Hills Annex QC ,Quezon City,,
PNP Headquarters Pasig,Pasig,,
Brgy. San Jose repacking Station,Antipolo,,
SRDL Medical Clinic and Pharmacy,Pasig,,
"Check Points,roaming feasibility",Las Pinas,,
Frontliner,Las Pinas,,
Local Government Unit of Anilao,Iloilo,,
Sumulong Checkpoint,Solano,,
Binan Checkpoint,Binan,,
"Mangilag Sur Candelaria, Quezon",Candelaria,,
"Bukal Sur Candelaria, Quezon",Candelaria,,
"PNP San Isidro, Isabela",Santiago,,
Antipolo City Sports Hub,Antipolo,,
DEPLOYED CHECKPOINTS,Cagayan de Oro,,
LGU Passi CDRRM,Davao ,,
LGU Passi CDRRM,Passi,,
Brgy 1 Banago Checkpoint,Manila,,
"Brgy.Mandalagan, Checkpoint",Sta Cruz,,
Brgy. Asko Frontliners,Sta Cruz,,
Clinica Antipolo Hospital,Antipolo,,
Police Station 3 and Brgy Bata BHERT ,Bacolod,,
J.F. Sanchez Medical and Lying-in Clinic,Valenzuela,,
"Brgy Hall ward 3, Minglanilla  ",Minglanilla,,
San Jose PNP,Antique,,
Department of Social Welfare & Development,Sorsogon,,
Minglanilla Philippine National Police,Sta Rosa,,
City Mayors Office La Carlota,La Carlota,,
Don Salvador Hospital La Carlota City,La Carlota,,
AFP Milaor Checkpoint,Naga,,
"Brgy Hall ward 2, Minglanilla  ",Minglanilla,,
AFP Magarao Checkpoint,Naga,,
Bulacao Police Station,Sta Rosa,,
Talisay Police Station and Bulacao Police Station,Talisay,,
Bato Frontliners,Sta Cruz,,
Brgy Sambag1 frontliners,Cebu ,,
Barangay Lorega Frontliners,Cebu ,,
Brgy.Cogon Pardo Frontliners,Naga,,
Brgy Tejero Frontliners,San Nicolas,,
AFP  JTFNCR,Marikina,,
Agoo PNP,San Nicolas,,
"AFP Cavinti, Mabitac, Sta. Maria Checkpoints",Sta Cruz,,
BARANGAY VOLUNTEERS,Manila,,
Punta Engaño Barangay ,Manila,,
Barangay San Vicente Olango Frontliners,Lapu-Lapu,,
LGU Alcala,Tanauan,,
LGU Alcala,Trece Martires,,
Pinugay Checkpoint,Marikina,,
"DISASTER RISK REDUCTION MANAGEMENT OFFICE CHECK POINT SOGOD, CEBU",Cebu ,,
"DISASTER RISK REDUCTION MANAGEMENT OFFICE CHECK POINT SOGOD, CEBU",Davao ,,
"DISASTER RISK REDUCTION MANAGEMENT OFFICE CHECK POINT BORBON, CEBU",Davao ,,
"DISASTER RISK REDUCTION MANAGEMENT OFFICE CHECK POINT BORBON, CEBU",Cagayan de Oro,,
Pasig City Health Office,Pasig,,
LGU Passi Checkpoint,Manila,,
Ynares Municipal Hospital,San Pedro,,
Nueva Valencia District Hospital,Cebu ,,
FPOP Rajah Community center,Iloilo,,
Sibonga Emergency Clinic  ,Cebu ,,
Antique Provincial Checkpoint,Sta Rosa,,
"Brgy. Granada BHERT, Nurses and midwife",Taguig,,
SIMC,Santiago,,
Old Zaniga Mandaluyong,Mandaluyong,,
"Brgy. Hall of Lasang, Davao City",Davao ,,
AFP Davao de Oro,Panabo,,
San Jose Antique PNP,Dumaguete,,
Rizal Provincial Hospital,Marikina,,
Bureau of Fire Protection San Jose,Tanauan,,
 ADS Covid19 task force,Tanauan,,
Antipolo Checkpoint,Tagaytay,,
Checkpoint  Covid19 Frontliners ,Sta Rosa,,
Brgy Pedro T. Orata Urdaneta City,Urdaneta,,
"Medic Care. Brgy. Area H Memjie, GMA Cavite",Cavite ,,
Carsigma District Hospital,Cavite ,,
Rizal Provincial Hospital,,,
Asia Medic Hospital ,Cavite ,,
"AFP Mangilag Sur Candelaria, Quezon Checkpoint",San Pedro,,
Santiago Brgy. Council,San Pedro,,
LGU BRGY. OLD ZANIGA MANDALUYONG,Trece Martires,,
Bayambang District Hospital ,Bayambang,,
Pangasinan District Hospital,San Pedro,,
Pangasinan Provincial Hospital,Dasmarinas,,
"Rural Health Infirmary, Poblacion, Binmaley Pangasinan",Dagupan,,
PNP San Juan,Ilagan,,
PNP UPI GAMU,Ilagan,,
LGU/PNP/City Health Office,Manila,,
Rural health unit Amulung,Manila,,
Brgy. San Vicente Baguio City,Manila,,
Calamba Medical Center,Manila,,
JP Rizal Distirct Hospital,Manila,,
UPLB Dormers,Manila,,
UPLB Dormers,Los Banos,,
Bay Checkpoint,Bay,,
Sta Cruz Provincial hospital,Sta Cruz,,
Sta Cruz Checkpoint,Sta Cruz,,
San Pablo Police Station,San Pablo,,
Checkpoint,Siniloan,,
Cabuyao-Gulod Soldier Police,Cabuyao,,
Barangay Personnel repacking of goods,Solano,,
Police officer and ctmo checkpoint  ,Banlic,,
Silang Checkpoint,Sta Rosa,,
Qualimed Cagayan de Oro,Cagayan de Oro,,
Global Medical Center,Davao ,,
San Pablo Medical,San Pablo,,
St. John the Baptist Hospital,Sta Cruz,,
Pamana Premier Medical Center,Sta Cruz,,
Sta Monica checkpoint,Sta Rosa,,
san rafael checkpoint,Tanauan,,
San Pablo Medical Hosp,Tanauan,,
Concepcion Checkpoint,San Pablo,,
Calamba Checkpoint,Paciano,,
San Pablo Community Hospital,San Pablo,,
Brgy 1 A San Pablo,San Pablo,,
Brgy Del Remedio  Checkpoint,San Pablo,,
Pulong Sta Cruz Near Coca Cola Checkpoint,Sta Rosa,,
Brgy San Lucs,Sorsogon,,
San Nicholas Checkpoint,Sta Rosa,,
APlaya Checkpoint,Calamba,,
Brgy. San crispin Checkpoint ,San Pablo,,
Rizal Laguna Checkpoint ,San Pablo,,
Bry Looc Checkpoint,Sta Rosa,,
Brgy Banadero and Plaza Checkpoint,Calamba,,
cabuyao checkpoint,Sta Cruz,,
BRGY V1E CHECKPOINT,San Pablo,,
sta rosa-cabuyao  checkpoint Cluster 1,Cabuyao,,
sta rosa-cabuyao  tulay checkpoint,Cabuyao,,
Pamana Premier Medical Center,San Nicolas,,
JR RIZAL HOSPITAL,San Nicolas,,
San mateo Checkpoint,Manila,,
BRGY HALANG CHECKPOINT,Manila,,
Sta Rosa Cabuyao Checkpoint,Cabuyao,,
Caingin Checkpoint,Tanauan,,
BRGY HALANG CHECKPOINT,Trece Martires,,
Bgy Malitlit,Cabuyao,,
Bgy Balibago,Cabuyao,,
PNP Sta Rosa,Cabuyao,,
BFP Sta Rosa,Sta Rosa,,
Sta Rosa Community,Sta Rosa,,
City Traffic Mgt Personnel,Manila,,
Marine's Checkpoint,,,
Kon. Ange Villegas,Tanauan,,
Kon. Ange Villegas,Manila,,
Babylyn Pamelo,San Juan,,
Babylyn Pamelo,Tanauan,,
Dennis Adan-CP Reyes,Tanauan,,
Nanny De Guzman-DMMC,Tanauan,,
,Tanauan,,
Karen Panganiban-tmo,Tanauan,,
Waltermart Frontliners,Tanauan,,
Disinfection Team Leader,,,
CDRRMO & SPARC Rescue,,,
COVID-19 Hotline San Pedro,,,
Libreng Sakay Team,San Pedro,,
San pedro,San Pedro,,
Checkpoint,Lemery,,
Ospital ng Lipa,Lipa,,
Medix Hospital,Lipa,,
Maraouy Checkpoint,Lipa,,
Tambo Checkpoint,Lipa,,
Villa Hospital,Santiago,,
Puregold Checkpoint,Lipa,,
Metro Lipa Medical Center,Lipa,,
Divine Love Hospital,Lipa,,
Granja District Hospital,Manila,,
Balagbag Check point,Lipa,,
Lipa Police Station,Lipa,,
Health workers,Odiongan,,
Bauan Municipal Police,Butuan,,
Brgy. Mangilar Sur,Candelaria,,
Malabanban Sur ,Candelaria,,
Malabanban Norte,Candelaria,,
Brgy. Bulacnin Checkpoint,Lipa,,
Brgy Pusil Checkpoint,Lipa,,
Brgy. Mabini Checkpoint,Valenzuela,,
Brgy. Mabini Checkpoint,Lipa,,
Brgy. Sampaguita Checkpoint,Lipa,,
Brgy. Bolbok Checkpoint,Lipa,,
Brgy Calamias Checkpoint,Lipa,,
Brgy. Inosluban Checkpoint,Li[a,,
Brgy. Inosluban Checkpoint,Lipa,,
Metro San Jose Hospital ,Lipa,,
Brgy. Dagatan ,Lipa,,
Brgy. Dagatan ,Toledo,,
Brgy. San Carlos,Lipa,,
San Antonio Hospital,Lipa,,
Mary Mediatrix Hospital,Lipa,,
Brgy Malaban Checkpoint,Sta Cruz,,
Brgy Malaban Checkpoint,Manila,,
Brgy Balete Checkpoint,Lipa,,
LIMA Checkpoint,Lipa,,
Camillus Hospital,Burgos,,
Police Batangas,Burgos,,
TDRO Batangas,Burgos,,
Pallocan Checkpoint,Pallocan,,
Libjo Checkpoint,Pallocan,,
"Sablayan Health workers, PNP, BFP",Sablayan,,
St. Camillus De Lelis Hospital,Batangas,,
PNP Batangas City,Burgos,,
Batangas City Hall (TDRO Personnel),Burgos,,
Isiah Hospital,Manila,,
Sta Fe Romblon RHU,Odiongan,,
RHU CANDELARIA,Candelaria,,
Malabanban Sur Checkpoint,Candelaria,,
Mangilar Sur  Checkpoint,Candelaria,,
Pahinga Norte Checkpoint,Candelaria,,
Poblacion Checkpoint,Candelaria,,
Jesus of Nazareth Hospital,Santiago,,
PNP Sto Tomas,Sto Tomas,,
PNP Candelaria,Davao ,,
BFP Candelaria,Candelaria,,
Nursery Hospital Candelaria,Candelaria,,
Sta. Catalina Sur Candelaria,Manila,,
Pahinga Norte Candelaria,Candelaria,,
Malabanban Sur,Candelaria,,
Bukal Sur ,Candelaria,,
Mangila Sur,Urdaneta,,
Mangila Norte,Candelaria,,
Pahinga Sur Candelaria,Candelaria,,
Poblacion,Manila,,
Masalukot 1 ,Candelaria,,
Masalukot 2,Candelaria,,
Sta. Catalina Sur Candelaria,Candelaria,,
Poblacion,Candelaria,,
Health Workers at RPH/PNP/BFP at Check points,Odiongan,,
Frontliners of MDRRM Office,Odiongan,,
Sto Tomas Batangas Checkpoint,Sto Tomas,,
Masalukot 3,Candelaria,,
Masalukot 4,Candelaria,,
Sta. Catalina Sur ,Candelaria,,
Bukal Sur,Candelaria,,
Mangilar Sur,Sta Cruz,,
Pahinga Norte,Sta Cruz,,
Kinatihan 1,San Pablo,,
Pobacion,Siniloan,,
Nursery Hospital,Candelaria,,
Pahinga Norte,Candelaria,,
Malabanban Sur,Sta Rosa,,
Mangilar Sur,Siniloan,,
MDRRMO,Sta Rosa,,
Nursery Hospital,Sta Rosa,,
Poblacion,SAN PABLO,,
Peter Paul Hospital,Candelaria,,
United Doctors Hospital,san pablo,,
Malabanban Norte,san pablo,,
Alaminos Checkpoint,San Pablo,,
RHU Candelaria,San Pablo,,
Malabanban Norte ,Candelaria,,
Mangilar Sur,San Pablo,,
PNP BFP Health workers,San Pablo,,
Mangilar Norte,San Pablo,,
RHU Cande;aria,San Pablo,,
Taguan checkpoint,San Pablo,,
Sta Catalina Sur,Sta Cruz,,
BRGY ITLUGAN - Officers,Lipa,,
Malabanban Norte Sambat,Candelaria,,
Pahinga Norte,San Pablo ,,
Malabanban Sur,San Pablo ,,
Mangilag Norte,Candelaria,,
Sta. Catalina Norte,Candelaria,,
Polacion Bonete,San Pablo,,
Masin Norte,Candelaria,,
Masin Norte Fatima,Candelaria,,
"Health Workers and PNP, BFP, & Checkpoint Incharge",San Pablo ,,
San Pedro Police ,Sto Tomas,,
San Pedro Police ,Batangas,,
PNP Check points,Sto Tomas,,
"PNP Check Points, Alaminos PNP Check Points",Sta Rosa,,
Barangay San Antonio Check Point,Sta Rosa,,
Calamba Checkpoint,Sta Rosa,,
BRGY TANGWAY CHECKPOINT,Sta Rosa,,
METRO LIPA,Sta Rosa,,
BRGY MUNTING PULO CHECKPOINT,Sta Rosa,,
BRGY. UNO CHECKPOINT,Lipa,,
BRGY DOS CHECKPOINT,Lipa,,
BRGY DAGATAN LIPA CITY CHECKPOINT,Lipa,,
BRGY LUMBANG LIPA CITY CHECKPOINT,Lipa,,
BRGY.TALISAY LIPA CITY CHECKPOINT,Lipa,,
BRGY TAMBO COMMANDER CHECKPOINT,Lipa,,
BRGY QUEZON CHECKPOINT,Lipa,,
PLAZA CHECKPOINT,Lipa,,
FIESTA MALL CHECKPOINT,Lipa,,
BULATI AVENUE CHECKPOINT,Lipa,,
BRGY. SAN FRANCISCO STO.TOMAS,Lipa,,
RHU,Candelaria,,
MaNGLAG Sur,Candelaria,,
Masin Norte,San Pedro,,
Bukal Sur,San Pedro,,
Poblacion,San Pedro,,
Malabanban Sur,San Pedro,,
Malabanban Norte,San Pedro,,
Lian MPS( Municipal Police Station) ,Lian,,
TUY  MPS( Municipal Police Station,Lipa,,
Nasugbu  MPS( Municipal Police Station) ,Lipa,,
Papaya Sub-Station ,Lipa,,
Kaylaway Sub-Station ,Lipa,,
Brgy. Luntal Tuy LGU Covid Activity,Lipa,,
Barangay Sabang Tuy  Batangas Covid activity,Lipa,,
Apacible Memorial Hospital,Bauan,,
Barangay Talon Tuy Batangas Covid related activity,Batangas,,
Barangay Talon Tuy Batangas Covid related activity,San Pedro,,
Barangay Dao Tuy Batangas Covid related Activity,San Pedro,,
Barangay Dao Tuy Batangas Covid related Activity,Lipa,,
Barangay Rillo Tuy Batangas Covid related Activity,Lipa,,
Barangay Ibayo Nasugbu Batangas Covid related Activity,Lipa,,
Barangay Acle Tuy Batangas Covid telated activity,Lipa,,
Barangay Putol Tuy Batangas covid related activity,Lipa,,
Barangay Rizal Tuy Batangas Covid related Activitty,Lipa,,
Barangay Burgos Tuy Batangas Covid related activity,Lipa,,
Barangay Bayudbod Tuy Batangas Covid Related Activity,Lipa,,
Barangay Guinhawa Tuy Batangas Covid related activity,Lipa,,
Barangay Uno Tuy Batangas Covid related  activity,Lipa,,
Barangay Dalima Tuy Batangas Covid related activity,Lipa,,
TMO Nasugbu,Lipa,,
CAMPO Palico Nasugbu Batangas,Lipa,,
Barangay Cogonan Nasugbu Batangas,Lipa,,
Barangay Humayingan Lian Batangas,Lipa,,
Barangay Caypusa Nasugbu Batangas,Lipa,,
Barangay Mataywanak Tuy Batangas,Lipa,,
Barangay Bolbok Tuy Batangas,Lipa,,
Barangay Lumbangan Tuy Batangas,Lipa,,
Barangay Toong Tuy Batangas,Lipa,,
CAMPO Palico Nasugbu Batangas,Nasugbu,,
Barangay Palincaro Tuy Batangas,Nasugbu,,
Barangay Tumalim Nasugbu Batangas,Nasugbu,,
Mataas na Pulo   Nasugbu Batangas,Batangas,,
Barangay Luna Tuy Batangas,Batangas,,
Barangay Lumbangan Nasugbu ,Batangas,,
Barangay Lumbangan Nasugbu  Covid related Activity,Nasugbu,,
MDRRMC OFFICERS,Nasugbu,,
BFP OFFICERS,Nasugbu,,
PNP OFFICERS (CHECKPOINT),Nasugbu,,
Barangay  1 CHECKPOINT,Nasugbu,,
Barangay 2 CHECKPOINT,Nasugbu,,
Barangay 3 CHECKPOINT,Nasugbu,,
Barangay 4 CHECKPOINT,Nasugbu,,
Barangay 5 CHECKPOINT,Nasugbu,,
Barangay 6 CHECKPOINT,Nasugbu,,
Barangay 7 CHECKPOINT,Nasugbu,,
Barangay 8 CHECKPOINT,Nasugbu,,
Barangay 9 CHECKPOINT,Nasugbu,,
Barangay 10 CHECKPOINT,Nasugbu,,
Barangay 11 CHECKPOINT,Nasugbu,,
Barangay 12 CHECKPOINT,Nasugbu,,
SAN JOSE CHECKPOINT,Nasugbu,,
BUCANA CHECKPOINT,Nasugbu,,
BULIHAN CHECKPOINT,Nasugbu,,
BUNDUCAN CHECKPOINT,Nasugbu,,
CALAYO CHECKPOINT,Nasugbu,,
CATANDAAN CHECKPOINT,Nasugbu,,
DAYAP CHECKPOINT,Nasugbu,,
LATAG CHECKPOINT,Nasugbu,,
LOOC CHECKPOINT,Nasugbu,,
MALAPAD NA BATO CHECKPOINT,Nasugbu,,
MAUGAT CHECKPOINT,Nasugbu,,
MUNTING INDANG CHECKPOINT,Nasugbu,,
NATIPUAN CHECKPOINT,Nasugbu,,
PUTAT CHECKPOINT,Batangas,,
TALANGAN CHECKPOINT,Nasugbu,,
UTOD   CHECKPOINT,Nasugbu,,
WAWA CHECKPOINT,Nasugbu,,
PNP AND ARMY SUBSTATION,Nasugbu,,
Barangay Pantalan Checkpoint,Sto Tomas,,
BRGY POBLACION CHECKPOINT,Candelaria,,
BRGY MALABANBAN NORTE CHECKPOINT,Candelaria,,
BRGY MASIN NORTE CHECKPOINT,Candelaria,,
BRGY PAPAYA CHECKPOINT,Nasugbu,,
BRGY REPARO CHECKPOINT,Nasugbu,,
BRGY PANTALAN CHECKPOINT,Nasugbu,,
RHU STAFF,Nasugbu,,
BUTUCAN CHECKPOINT,Nasugbu,,
BALIBAGO CHECKPOINT,Nasugbu,,
LUYAHAN CHECKPOINT,Nasugbu,,
MATABUNGKAY CHECKPOINT,Nasugbu,,
BINUBUSAN CHECKPOINT,Nasugbu,,
LIAN  TMO CHECKPOINT,Nasugbu,,
BUNGAHAN CHECKPOINT,Nasugbu,,
SAN DIEGO CHECKPOINT,Nasugbu,,
BRGY 1 CHECKPOINT,Nasugbu,,
BRGY 2 CHECKPOINT,Nasugbu,,
LUMANIAG CHECKPOINT,Nasugbu,,
Dra. Enid Asuncion,San Jose,,
Alaminos Checkpoint,Sto Tomas,,
BARANGAY HEALTH WORKER,Candelaria,,
MUNICIPAL DOCTOR & NURSE,Candelaria,,
POLICE AND BARANGAY OFFICIALS,Cavite,,
EMPLOYEES,Cavite,,
NAVY/ TRAFFICE ENFORCER,Cavite,,
BRGY OFFICIALS,Cavite,,
Dasma Police @ BDO Tulay area (Boundary of Dasma to GMA),Cavite,,
GMA Police @ BPI area (Mindanao Avenue),Cavite,,
Bulihan Area,Cavite,,
Woodland Bancal Area,Cavite,,
Carsigma District Hospital,Cavite,,
GMA Councilors,Cavite,,
Memije Medicare area,Cavite,,
Family Doc,Imus,,
St Michael Hospital,Bacoor,,
South Asian medical center,Bacoor,,
Molino Doctors Hosp,Bacoor,,
Mambog 3 Barangay,Bacoor,,
Mambog 4 Barangay,Bacoor,,
Bacoor BFP,Bacoor,,
Bacoor Health Office,Bacoor,,
Bayanan Barangay,Bacoor,,
Bacoor PNP,Bacoor,,
Mambog 1 Barangay,Bacoor,,
Mambog 2 Barangay,Bacoor,,
Molino 1 Barangay,Bacoor,,
San Nicolas 3Barangay,Bacoor,,
Bacoor Doctors Hospital,Bacoor,,
San nicolas 2 Barangay,Bacoor,,
St. Dominic Medical Center,Bacoor,,
MUNICIPAL HEALTH UNIT TANZA,Tanza,,
ROSARIO MUNICIPAL HEAL UNIT,Tanza,,
Divine Grace Medical Center,Tanza,,
POLICE CHECK POINT,Tanza,,
POLICE AND BARANGAYS ON CHECKPOOINT,Cavite,,
Cavite Medical Center,Cavite,,
Bato MC Hospital,Cavite,,
SANGLEY,Cavite,,
NAVY/ TRAFFIC ENFORCER,Cavite,,
BARANGAY 59 SITAW,Cavite,,
CAVITE BFP AND HEALTH OFFICER,Cavite,,
RED CROSS,Cavite,,
BARANGAY 41,Cavite,,
BARANGAY 3,Cavite,,
Family Doc,Gen Trias,,
Asia Medic Hospital,Cavite,,
Mazenod Medical ,Cavite,,
Family Doc,Cavite,,
Phase 6 Bulihan Checkpoint,Cavite,,
Petron GMA Cavite Checkpoint,Cavite,,
Bancal Carmona Checkpoint,Cavite,,
Bacoor Checkpoint  ( Queensrow ) ,Bacoor,,
Bacoor Checkpoint (Daanghari) ,Bacoor,,
Latero checkpoint ( Soldiers hills) ,Bacoor,,
Barangay Molino 3  ,Bacoor,,
Health center Molino 3 ,Bacoor,,
Barangay Molino 2 ,Bacoor,,
Health Center Molino 2 ,Bacoor,,
Police Station Molino 3 ,Bacoor,,
Detachment Soldiers Hills ,Bacoor,,
Barangay Molino 4,Bacoor,,
Family Doc,Bacoor,,
TALABA 1,Bacoor,,
TALABA 2,Bacoor,,
TALABA 3,Bacoor,,
TALABA 4,Bacoor,,
TALABA 5,Bacoor,,
TALABA 6,Bacoor,,
TALABA 7,Bacoor,,
NIOG 1,Bacoor,,
NIOG 2,Bacoor,,
NIOG 3,Bacoor,,
MALIKSI 1,Bacoor,,
MALIKSI 2,Bacoor,,
MALIKSI 3,Bacoor,,
BACOOR TMO/CHECKPOINT/PNP (4 checkpoints),Bacoor,,
Health Workers and Volunteers Quezon Memorial Hospital,Bacoor,,
NDRRMC,Tanza,,
TRAFFIC ENFORCERS,Tanza,,
Quezon Memorial Hospital,Tanza,,
BA CHECK POINT,Tanza,,
CHECKPOINT NEAR PUBLIC MARKET,Tanza,,
BARANGAY  CHECK POINT,Tanza,,
PANAPAAN 1,Bacoor,,
PANAPAAN 2,Bacoor,,
PANAPAAN 3,Bacoor,,
PANAPAAN 4,Bacoor,,
PANAPAAN 5,Bacoor,,
PANAPAAN 6,Bacoor,,
PANAPAAN 7,Bacoor,,
HABAY 1,Bacoor,,
HABAY 2,Bacoor,,
Binakayan Hospital and Medical Center,Bacoor,,
CRISOSTOMO HOSPITAL,Bacoor,,
Brgy Tadlac,Calamba,,
 Brgy IV,Calamba,,
Banaba Area,Cavite,,
Brgy Bambang,Calamba,,
SK Brgy Sucol,Calamba,,
GMA Proper Area/Checkpoint,Cavite,,
Ayala Serin Mall Guards,Tagaytay,,
 Brgy Calo Bay,Calamba,,
"Police, Btgy Officials",Tagayatay,,
"Police, Btgy Officials",Tagaytay,,
lucksuhin check point,Tagaytay,,
Brgy Lalakay,Calamba,,
taywanak check point,Tagaytay,,
Pajo Check point,Tagaytay,,
Crosiing Alfonso Check point,Tagaytay,,
Tagayaty Mendez Check point,Tagaytay,,
buho silang boundary,Tagaytay,,
Salaban  Kaybagal North check point,Tagaytay,,
Salaban Daang Luma ,Tagaytay,,
Talon Maitim Boundary,Tagaytay,,
Buho Maitim Boundary,Tagaytay,,
Buho Buho Boundary,Tagaytay,,
Banay Banay Boundary,Tagaytay,,
Tamacan Panungyanan,Tagaytay,,
Pangil limbon,Tagaytay,,
Pangil Conchu,Tagaytay,,
Halang Alingaro,Tagaytay,,
Tagaytay Health Center,Tagaytay,,
San Jose Health Worker,Tagaytay,,
DapDap East Checkpoint,Tagaytay,,
DapDap West Checkpoint,Tagaytay,,
Maitim 2nd Health Center,Tagaytay,,
POLICE/ NAVY CHECKPOINT,Cavite,,
P Burgos Barangay,Cavite,,
"Bancal, Carmona Checkpoint",Cavite,,
St Mazenod Hospital,Cavite,,
Molino infront of Mariche checkpoint,Bacoor,,
Latero Checkpoint,Bacoor,,
Queens Row Checkpoint,Bacoor,,
PNP Police station,Bacoor,,
SAMC Hospital,Bacoor,,
Molino 3 Barangay,Bacoor,,
BDRRMO,Bacoor,,
BTMO,Bacoor,,
Mambog 1 Checkpoint,Bacoor,,
Bacoor SWAT,Bacoor,,
Belarde Health Center,Bacoor,,
Buho-SILANG Check point,Tagaytay,,
Tagaytay Rotunda/San Jose Check point,Tagaytay,,
Salaban Check point/loma Checkpoint,Tagaytay,,
lucksuhin 1 check point,Tagaytay,,
lucksuhin2 check point,Tagaytay,,
BPI Checkpoint,Cavite,,
Bacoor Dialysis Center,Bacoor,,
WM Dasma mall guards,Dasmarinas,,
WM Dasma Admin/Eng,Dasmarinas,,
Mercury Drug,Dasmarinas,,
WM Dasma Outpost,Dasmarinas,,
De La Salle Medical Center,Dasmarinas,,
Salawag 1 Checkpoint,Dasmarinas,,
Salawag 2 Checkpoint,Dasmarinas,,
Evia Checkpoint,Dasmarinas,,
Sabang-Malagasang checkpoint,Dasmarinas,,
Brgy Sta Fe,Dasmarinas,,
PNP Trece Martires,Trece Martires,,
Gen Aguinaldo Memorial l Hospital,Trece Martires,,
Gentri PNP,Trece Martires,,
General Trias Doctors Medical Center,Trece Martires,,
Gen Tri Doctors &  Medical center,Trece Martires,,
EBMC,Virac,,
Camp Farncisco,Virac,,
MPS Army,Virac,,
MPS Army,Imus,,
RHU,Virac,,
Virac RHU,Virac,,
Ospital ng Palawan,Virac,,
PNP City of Palawan,Virac,,
MDRRMO,Virac,,
Philippine National Red Cross,Virac,,
CDHI,Virac,,
SAN ANDRES POLICE/CHECKPOINT,Virac,,
Bargy Bagumbayan,Legazpi,,
Brgy. Banag,Legazpi,,
Brgy Bascaran,Legazpi,,
Brgy. Binitayan,Tanza,,
Brgy. Libod,Tanza,,
Brgy. Busay,Tanza,,
Brgy. Gabawan,Tanza,,
BRTTH,Tanza,,
Brgy. Ilawod,Legazpi,,
Brgy. Kilicao,Legazpi,,
Brgy. Kimantong,Legazpi,,
Brgy. Kiwalo,Legazpi,,
Brgy. Malabog,Legazpi,,
Brgy. Market Area,Legazpi,,
Brgy. Maroroy,Legazpi,,
Legazpi City Hospital,Legazpi,,
Brgy. Padang,Legazpi,,
CPAC Penaranda,Legazpi,,
BMC Hospital,Gen Trias,,
PRC-Cam Sur,Naga,,
PS2-NCPO,Naga,,
RHU-Magarao,Naga,,
BMC Hospital,Naga,,
City Health Office,Naga,,
Philippine National Red Cross,Imus,,
Del Rosario- Post,Naga,,
Almeda Post,Naga,,
Mabolo Post,Naga,,
Mabolo-Gainza Post,Naga,,
Mabolo Milaor Post,Naga,,
Bagumbayan Post,Naga,,
Abella Post,Naga,,
Nueva Caceres vilmar Post,Naga,,
Carolina-Hacienda Post,Naga,,
Carolina- Casa Ofelia Post,Naga,,
Cokeville Post,Naga,,
Incident Comand Post,Naga,,
Nueva Cacesres vilmar Post,Naga,,
Carolina- Casa Ofelia Post,Tanza,,
Cokeville Post,Tanza,,
Incident Comand Post,Tanza,,
Legazpi Municipal Office,Tanza,,
Regional Police Batallion 5,Tanza,,
Checkpoint (Legazpi CPS-Albay PPO),Tanza,,
UST Hospital,Tanza,,
Estevez Memorial Hospital,Tanza,,
Ligao,Tanza,,
Oas,Tanza,,
Guinobatan,Tanza,,
Ligao,Ligao,,
Ligao CHR,Ligao,,
Brgy. Pigcale,Legazpi,,
Brgy Lapu Lapu,Legazpi,,
Brgy. Sabang,Legazpi,,
Brgy. Baybay,Legazpi,,
Brgy. 39 Renelisan,Legazpi,,
